date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2009_01_02 14:00:33	29.10	29.60	26.90	91.60	272.20	22.00	14.40
2009_01_02 14:06:47	29.20	29.60	26.90	91.00	251.20	22.00	16.00
2009_01_02 14:13:01	29.30	29.60	26.80	90.20	243.60	21.00	16.60
2009_01_02 14:19:16	29.30	29.70	26.30	88.40	269.40	22.00	14.80
2009_01_02 14:25:29	29.30	29.70	25.70	86.00	262.60	24.00	16.20
2009_01_02 14:31:46	29.30	29.70	25.80	86.40	249.60	29.00	18.40
2009_01_02 14:38:02	29.40	29.70	24.90	83.00	258.40	25.00	18.00
2009_01_02 14:44:22	29.80	29.70	25.70	84.40	250.20	27.00	21.60
2009_01_02 14:52:58	29.80	29.70	25.60	84.00	247.40	26.00	19.20
2009_01_02 14:59:16	30.10	29.70	26.00	84.40	252.00	26.00	19.80
2009_01_02 15:05:38	29.90	29.70	26.20	85.80	256.00	25.00	16.00
2009_01_02 15:12:12	30.10	29.70	26.60	86.60	268.00	21.00	16.60
2009_01_02 15:19:21	29.90	29.70	26.50	86.80	240.80	22.00	13.40
2009_01_02 15:25:38	29.70	29.70	26.20	86.60	271.00	22.00	 6.40
2009_01_02 15:32:38	29.60	29.70	25.90	85.80	259.40	19.00	 5.80
2009_01_02 15:39:01	29.40	29.70	26.70	89.60	178.20	14.00	 5.00
2009_01_02 15:45:20	29.10	29.70	26.40	89.40	262.20	15.00	 8.20
2009_01_02 15:51:40	29.30	29.70	26.40	88.80	227.60	22.00	 8.60
2009_01_02 15:57:59	29.40	29.70	26.40	88.20	280.00	10.00	 6.40
2009_01_02 16:04:19	29.40	29.70	26.70	89.60	206.20	13.00	 5.40
2009_01_02 16:10:35	29.20	29.70	26.40	89.00	225.60	15.00	 8.00
2009_01_02 16:16:49	29.30	29.70	26.40	88.80	283.60	26.00	 9.20
2009_01_02 16:23:04	29.20	29.80	25.60	86.20	256.60	29.00	 8.00
2009_01_02 16:29:25	29.50	29.80	25.80	85.80	270.00	18.00	 7.80
2009_01_02 16:35:55	29.40	29.80	25.60	85.60	268.00	24.00	15.00
2009_01_02 16:42:15	29.20	29.80	26.00	87.60	260.00	21.00	10.80
2009_01_02 16:48:39	29.10	29.80	25.60	86.60	261.60	18.00	13.80
2009_01_02 16:55:04	29.00	29.80	25.90	88.00	257.40	26.00	15.60
2009_01_02 17:01:28	28.80	29.80	25.50	87.40	266.00	19.00	10.60
2009_01_02 17:07:43	28.70	29.80	25.10	86.00	268.80	30.00	14.20
2009_01_02 17:14:01	28.70	29.80	25.30	86.80	239.80	30.00	13.60
2009_01_02 17:20:17	28.60	29.80	25.70	88.60	240.60	25.00	17.20
2009_01_02 17:26:43	28.50	29.80	25.70	89.00	240.20	30.00	15.40
2009_01_02 17:32:57	28.30	29.80	25.70	90.00	248.40	24.00	13.00
2009_01_02 17:39:11	28.20	29.80	25.30	88.60	242.20	28.00	11.20
2009_01_02 17:45:26	28.20	29.80	24.70	86.60	233.60	33.00	13.80
2009_01_02 17:51:40	28.20	29.80	21.80	76.80	274.00	19.00	 9.40
2009_01_02 17:57:54	28.00	29.80	20.20	72.00	230.80	35.00	15.40
2009_01_02 18:04:09	27.70	29.80	19.30	70.40	283.40	35.00	 9.80
2009_01_02 18:10:23	27.60	29.80	19.70	71.80	252.00	22.00	 9.60
2009_01_02 18:16:37	27.30	29.80	18.30	68.40	262.20	25.00	14.80
2009_01_02 18:22:51	27.00	29.80	17.80	68.00	258.40	26.00	17.40
2009_01_02 18:29:05	26.30	29.80	16.80	66.80	271.00	26.00	12.80
2009_01_02 18:35:20	26.50	29.90	17.30	67.80	267.00	26.00	13.60
2009_01_02 18:41:34	26.20	29.90	15.60	63.60	287.60	33.00	11.80
2009_01_02 18:47:48	26.20	29.90	15.60	63.80	282.80	24.00	 9.80
2009_01_02 18:54:02	26.20	29.90	14.20	60.00	288.60	22.00	12.40
2009_01_02 19:00:16	25.80	29.90	14.20	60.80	279.00	23.00	12.00
2009_01_02 19:06:31	25.70	29.90	12.30	56.20	287.60	27.00	14.80
2009_01_02 19:12:45	25.60	29.90	11.70	55.20	269.20	23.00	14.00
2009_01_02 19:18:59	25.20	29.90	12.60	58.20	277.60	23.00	13.20
2009_01_02 19:25:14	25.00	29.90	12.90	59.60	284.00	26.00	15.80
2009_01_02 19:31:28	24.50	29.90	13.20	61.80	247.00	18.00	 9.80
2009_01_02 19:37:43	24.30	29.90	13.30	62.40	275.20	16.00	11.40
2009_01_02 19:43:57	24.00	29.90	13.20	62.80	270.40	14.00	 8.20
2009_01_02 19:50:11	23.90	29.90	14.70	67.20	238.60	13.00	 9.20
2009_01_02 19:56:26	23.60	29.90	16.10	72.60	222.20	14.00	11.60
2009_01_02 20:02:40	23.10	29.90	14.50	69.20	221.00	14.00	 8.60
2009_01_02 20:08:54	23.30	29.90	14.10	67.40	236.60	14.00	 8.40
2009_01_02 20:15:09	23.20	29.90	14.80	69.80	222.60	15.00	10.80
2009_01_02 20:21:24	23.10	29.90	14.00	67.80	262.60	10.00	 4.40
2009_01_02 20:27:38	23.30	29.90	13.60	66.00	242.20	11.00	 8.00
2009_01_02 20:33:52	23.40	29.90	13.90	66.60	259.00	11.00	 5.40
2009_01_02 20:40:07	23.40	29.90	13.30	65.00	249.40	15.00	11.80
2009_01_02 20:46:21	23.60	29.90	13.80	65.60	246.60	17.00	12.60
2009_01_02 20:52:35	23.60	29.90	15.00	69.20	244.40	17.00	13.80
2009_01_02 20:58:50	23.60	29.90	15.20	69.80	245.80	21.00	15.60
2009_01_02 21:05:04	23.70	29.90	13.70	65.00	243.60	22.00	17.00
2009_01_02 21:11:18	23.60	29.90	14.30	67.00	237.80	19.00	13.40
2009_01_02 21:17:32	23.30	29.90	12.40	62.40	241.40	20.00	12.60
2009_01_02 21:23:53	23.30	29.90	13.40	65.40	242.60	19.00	12.00
2009_01_02 21:30:11	23.30	29.90	12.60	63.20	239.40	21.00	11.80
2009_01_02 21:36:28	22.90	29.90	13.70	67.20	251.60	20.00	12.00
2009_01_02 21:42:42	22.60	29.90	12.10	63.40	264.60	16.00	10.20
2009_01_02 21:48:56	22.30	30.00	13.20	67.80	243.80	18.00	11.00
2009_01_02 21:55:11	21.60	30.00	14.50	73.80	237.60	13.00	 8.40
2009_01_02 22:01:25	21.20	30.00	14.20	74.20	240.80	10.00	 6.40
2009_01_02 22:07:39	21.30	30.00	14.80	75.60	240.00	 9.00	 5.40
2009_01_02 22:13:55	21.20	30.00	14.90	76.40	243.60	15.00	 9.20
